time	action	midinote	velocity
300.322585205	144	43	28
300.381169427	128	43	64
300.526606731	144	43	30
300.56944056	128	43	64
300.673410082	144	43	29
300.737266324	128	43	64
300.857050618	144	43	31
300.914309446	128	43	64
300.998259605	144	43	38
301.080278473	128	43	64
301.218409523	144	43	39
301.260301026	128	43	64
301.452125	144	62	69
301.508020676	128	62	64
301.596663847	144	62	66
301.634630305	144	43	65
301.659602966	128	62	64
301.671300123	128	43	64
301.729930017	144	62	63
301.792751146	128	62	64
301.865692653	144	62	36
301.926272233	128	62	64
302.013904832	144	62	86
302.077521815	128	62	64
302.13206082	144	62	84
302.194230061	128	62	64
302.240036367	144	43	35
302.31383164	128	43	64
302.911494037	144	43	36
302.960600434	128	43	64
303.298381749	144	43	67
303.339910265	128	43	64
304.364042831	144	43	44
304.417299973	128	43	64
304.435724075	128	62	64
305.200871066	144	43	45
305.253843252	128	43	64
306.544468907	144	43	63
306.544762087	128	43	64
306.768556421	144	43	72
306.768727438	128	43	64
306.845629272	144	43	76
306.884142101	128	43	64
307.000036772	144	43	77
307.039632034	128	43	64
307.125433393	144	43	76
307.182780146	128	43	64
308.466756916	144	43	59
308.569654472	128	43	64
309.199049515	144	43	60
309.917885874	128	43	64
310.466679162	144	43	62
310.724020457	128	43	64
311.105311183	144	68	41
311.145008633	128	68	64
311.190889807	144	43	55
311.216124705	144	68	59
311.277971345	128	68	64
311.311599099	128	43	64
311.60504603	144	68	94
311.647479499	128	68	64
312.205652126	144	43	67
312.302053336	128	43	64
313.003986264	144	43	63
313.100093574	128	43	64
313.622209145	144	68	56
313.666454723	128	68	64
313.669046022	144	68	20
313.69486674	128	68	64
313.749062652	144	68	69
313.781311214	128	68	64
313.784335959	144	68	31
313.845195317	128	68	64
313.863516222	144	68	92
313.930893663	128	68	64
313.930996598	144	68	54
313.984614842	144	43	64
314.009818352	128	68	64
314.572137112	144	68	53
314.626960555	128	68	64
314.646710079	144	68	106
314.711313544	128	68	64
314.731820157	144	68	63
314.770051217	128	43	64
314.77451666	128	68	64
314.816155651	144	68	115
314.87244934	128	68	64
314.875739248	144	68	73
314.911298265	128	68	64
315.636036427	144	43	109
315.70999651	128	43	64
316.155021228	144	68	57
316.194824008	128	68	64
316.55438548	144	68	121
316.563405151	128	68	64
316.851488804	144	43	60
316.854988168	128	43	64
317.182841012	144	68	102
317.277590844	128	68	64
317.56150504	144	43	61
317.603808106	128	43	64
317.759163471	144	43	60
317.800014622	128	43	64
317.904543987	144	43	61
317.974525627	128	43	64
318.076060135	144	43	62
318.150379191	128	43	64
318.222132192	144	68	57
318.241714223	144	43	55
318.277078643	128	68	64
318.294328248	128	43	64
318.429929946	144	43	57
318.480176208	128	43	64
318.615878209	144	43	58
318.639802918	144	68	33
318.657892749	128	68	64
318.682945111	128	43	64
318.788012655	144	43	57
318.854949941	128	43	64
318.950941997	144	43	57
319.016210314	128	43	64
319.132931976	144	68	28
319.174386568	144	43	53
319.21904594	128	43	64
319.227332081	128	68	64
319.955114654	144	68	23
319.955332857	128	68	64
319.955382825	144	68	1
320.028613289	128	68	64
320.186776194	144	43	42
320.201562549	128	43	64
320.221836607	144	68	44
320.241441644	128	68	64
320.26902206	144	68	10
320.311558694	128	68	64
320.331586906	144	68	38
320.397963686	128	68	64
320.402298856	144	68	4
320.462272809	128	68	64
320.483404023	144	68	39
320.529347381	128	68	64
320.550298922	144	68	9
320.595365232	128	68	64
320.617625092	144	68	42
320.662090101	144	43	20
320.678137383	128	68	64
320.698452157	144	68	11
320.716465787	128	43	64
320.765932995	128	68	64
320.767779637	144	68	42
320.774473818	144	43	36
320.84321781	128	68	64
320.863523457	144	68	6
320.909706716	128	68	64
320.937677078	144	68	36
320.997211152	128	68	64
321.02086037	144	68	10
321.078077943	128	68	64
321.222227509	144	68	18
321.278594213	128	68	64
321.36437251	144	68	14
321.428602036	128	68	64
321.481954818	144	68	16
321.484433693	128	43	64
